time (h),temperature (°C),irradiance (W/m^2),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
88.0000,44.37,0.0,0.0000,0.000,0.000
88.1667,44.84,0.0,0.0000,0.000,0.000
88.3333,44.46,0.0,0.0000,0.000,0.000
88.5000,44.97,0.0,0.0000,0.000,0.000
88.6667,44.99,0.0,0.0000,0.000,0.000
88.8333,45.60,0.0,0.0000,0.000,0.000
89.0000,44.90,0.0,0.0000,0.000,0.000
89.1667,45.21,0.0,0.0000,0.000,0.000
89.3333,44.93,0.0,0.0000,0.000,0.000
89.5000,44.97,0.0,0.0000,0.000,0.000
89.6667,45.46,0.0,0.0000,0.000,0.000
89.8333,44.61,0.0,0.0000,0.000,0.000
90.0000,44.72,0.0,0.0000,0.000,0.000
90.1667,45.24,0.0,0.0000,0.000,0.000
90.3333,44.67,0.0,0.0000,0.000,0.000
90.5000,44.94,0.0,0.0000,0.000,0.000
90.6667,45.42,0.0,0.0000,0.000,0.000
90.8333,44.77,0.0,0.0000,0.000,0.000
91.0000,45.04,0.0,0.0000,0.000,0.000
91.1667,44.48,0.0,0.0000,0.000,0.000
91.3333,45.12,0.0,0.0000,0.000,0.000
91.5000,45.02,0.0,0.0000,0.000,0.000
91.6667,45.50,0.0,0.0000,0.000,0.000
91.8333,45.18,0.0,0.0000,0.000,0.000
92.0000,44.71,0.0,0.0000,0.000,0.000
92.1667,45.15,0.0,0.0000,0.000,0.000
92.3333,45.12,0.0,0.0000,0.000,0.000
92.5000,44.75,0.0,0.0000,0.000,0.000
92.6667,45.14,0.0,0.0000,0.000,0.000
92.8333,45.67,0.0,0.0000,0.000,0.000
93.0000,45.53,0.0,0.0000,0.000,0.000
93.1667,45.22,0.0,0.0000,0.000,0.000
93.3333,44.96,0.0,0.0000,0.000,0.000
93.5000,44.90,0.0,0.0000,0.000,0.000
93.6667,44.88,0.0,0.0000,0.000,0.000
93.8333,45.01,0.0,0.0000,0.000,0.000
94.0000,45.38,0.0,0.0000,0.000,0.000
94.1667,45.33,0.0,0.0000,0.000,0.000
94.3333,44.77,0.0,0.0000,0.000,0.000
94.5000,44.93,0.0,0.0000,0.000,0.000
94.6667,44.60,0.0,0.0000,0.000,0.000
94.8333,45.24,0.0,0.0000,0.000,0.000
95.0000,44.90,0.0,0.0000,0.000,0.000
95.1667,44.62,0.0,0.0000,0.000,0.000
95.3333,44.68,0.0,0.0000,0.000,0.000
95.5000,44.64,0.0,0.0000,0.000,0.000
95.6667,44.83,0.0,0.0000,0.000,0.000
95.8333,45.29,0.0,0.0000,0.000,0.000
96.0000,45.25,1002.1,0.8874,19.668,17.453
96.1667,45.17,998.8,0.8842,19.762,17.473
96.3333,44.98,997.7,0.8857,19.588,17.349
96.5000,45.08,1001.8,0.8889,19.714,17.524
96.6667,45.20,1000.2,0.8810,19.980,17.602
96.8333,44.47,999.7,0.8885,19.601,17.415
97.0000,44.96,1000.8,0.8845,19.836,17.546
97.1667,44.84,1000.4,0.8874,19.735,17.513
97.3333,45.34,1000.0,0.8857,19.553,17.318
97.5000,45.37,1003.7,0.8872,19.763,17.535
97.6667,44.88,1002.4,0.8858,19.638,17.395
97.8333,45.38,1000.8,0.8849,19.801,17.523
98.0000,45.24,998.6,0.8881,19.614,17.419
98.1667,44.96,1002.9,0.8873,19.619,17.408
98.3333,45.43,1001.3,0.8849,19.706,17.437
98.5000,44.97,999.1,0.8861,19.544,17.319
98.6667,44.98,1001.3,0.8884,19.594,17.407
98.8333,44.97,1002.2,0.8855,19.726,17.468
99.0000,44.94,998.8,0.8866,19.571,17.352
99.1667,44.87,999.5,0.8837,19.639,17.355
99.3333,44.70,999.1,0.8863,19.536,17.315
99.5000,44.88,999.2,0.8810,19.726,17.379
99.6667,45.39,1001.8,0.8825,19.644,17.335
99.8333,44.84,997.4,0.8883,19.659,17.462
100.0000,45.19,997.2,0.8874,19.464,17.273
100.1667,44.53,1001.5,0.8860,19.669,17.427
100.3333,45.30,1002.1,0.8880,19.545,17.356
100.5000,44.77,1001.4,0.8844,19.587,17.323
100.6667,44.78,1000.3,0.8918,19.413,17.313
100.8333,45.62,1000.2,0.8855,19.530,17.294
101.0000,45.52,1001.9,0.8817,19.623,17.301
101.1667,45.05,999.4,0.8853,19.455,17.223
101.3333,45.11,1000.8,0.8870,19.601,17.386
101.5000,45.17,1000.1,0.8850,19.651,17.391
101.6667,44.62,1000.2,0.8857,19.658,17.412
101.8333,44.72,997.3,0.8865,19.447,17.239
102.0000,45.32,1002.6,0.8848,19.527,17.278
102.1667,44.43,997.2,0.8856,19.483,17.255
102.3333,44.91,999.6,0.8829,19.545,17.257
102.5000,45.05,998.9,0.8805,19.774,17.412
102.6667,45.00,1002.7,0.8839,19.728,17.437
102.8333,44.94,997.2,0.8868,19.520,17.310
103.0000,45.12,1002.3,0.8815,19.668,17.337
103.1667,44.85,1001.9,0.8840,19.708,17.421
103.3333,45.21,996.9,0.8806,19.542,17.209
103.5000,44.51,1001.0,0.8881,19.662,17.461
103.6667,44.97,1001.8,0.8843,19.782,17.493
103.8333,45.24,1001.6,0.8863,19.528,17.307
104.0000,44.90,998.4,0.8869,19.449,17.249
104.1667,45.14,1000.6,0.8864,19.539,17.320
104.3333,44.91,1000.5,0.8881,19.530,17.344
104.5000,45.33,999.0,0.8806,19.726,17.372
104.6667,45.30,999.5,0.8828,19.731,17.417
104.8333,44.56,1001.9,0.8887,19.538,17.364
105.0000,44.88,999.8,0.8810,19.783,17.428
105.1667,44.73,999.2,0.8846,19.449,17.204
105.3333,44.89,1000.8,0.8852,19.643,17.388
105.5000,45.02,1000.0,0.8858,19.506,17.278
105.6667,45.49,1000.4,0.8810,19.616,17.282
105.8333,44.71,1001.9,0.8862,19.600,17.370
106.0000,44.80,998.7,0.8847,19.453,17.210
106.1667,45.24,999.5,0.8829,19.590,17.296
106.3333,44.61,1000.9,0.8840,19.281,17.043
106.5000,45.08,999.1,0.8832,19.652,17.358
106.6667,45.53,1000.3,0.8800,19.554,17.209
106.8333,45.19,1000.7,0.8840,19.433,17.179
107.0000,45.18,1000.4,0.8805,19.526,17.193
107.1667,45.13,1000.3,0.8850,19.603,17.349
107.3333,45.17,997.3,0.8861,19.624,17.389
107.5000,45.05,1000.4,0.8871,19.415,17.224
107.6667,44.73,1000.5,0.8858,19.591,17.354
107.8333,44.68,1000.1,0.8830,19.620,17.324
108.0000,44.73,0.0,0.0000,0.000,0.000
108.1667,44.52,0.0,0.0000,0.000,0.000
108.3333,44.62,0.0,0.0000,0.000,0.000
108.5000,45.25,0.0,0.0000,0.000,0.000
108.6667,44.60,0.0,0.0000,0.000,0.000
108.8333,45.01,0.0,0.0000,0.000,0.000
109.0000,44.51,0.0,0.0000,0.000,0.000
109.1667,44.87,0.0,0.0000,0.000,0.000
109.3333,45.04,0.0,0.0000,0.000,0.000
109.5000,45.02,0.0,0.0000,0.000,0.000
109.6667,45.32,0.0,0.0000,0.000,0.000
109.8333,44.74,0.0,0.0000,0.000,0.000
110.0000,45.17,0.0,0.0000,0.000,0.000
110.1667,45.54,0.0,0.0000,0.000,0.000
110.3333,45.07,0.0,0.0000,0.000,0.000
110.5000,44.90,0.0,0.0000,0.000,0.000
110.6667,44.93,0.0,0.0000,0.000,0.000
110.8333,45.37,0.0,0.0000,0.000,0.000
111.0000,44.97,0.0,0.0000,0.000,0.000
111.1667,44.55,0.0,0.0000,0.000,0.000
111.3333,44.92,0.0,0.0000,0.000,0.000
111.5000,45.57,0.0,0.0000,0.000,0.000
111.6667,45.01,0.0,0.0000,0.000,0.000
111.8333,44.54,0.0,0.0000,0.000,0.000
112.0000,44.79,0.0,0.0000,0.000,0.000
112.1667,45.02,0.0,0.0000,0.000,0.000
112.3333,44.72,0.0,0.0000,0.000,0.000
112.5000,45.45,0.0,0.0000,0.000,0.000
112.6667,44.70,0.0,0.0000,0.000,0.000
112.8333,44.76,0.0,0.0000,0.000,0.000
113.0000,44.74,0.0,0.0000,0.000,0.000
113.1667,44.18,0.0,0.0000,0.000,0.000
113.3333,44.68,0.0,0.0000,0.000,0.000
113.5000,45.07,0.0,0.0000,0.000,0.000
113.6667,45.56,0.0,0.0000,0.000,0.000
113.8333,45.41,0.0,0.0000,0.000,0.000
114.0000,45.21,0.0,0.0000,0.000,0.000
114.1667,45.69,0.0,0.0000,0.000,0.000
114.3333,44.22,0.0,0.0000,0.000,0.000
114.5000,45.35,0.0,0.0000,0.000,0.000
114.6667,45.29,0.0,0.0000,0.000,0.000
114.8333,44.81,0.0,0.0000,0.000,0.000
115.0000,45.41,0.0,0.0000,0.000,0.000
115.1667,45.02,0.0,0.0000,0.000,0.000
115.3333,45.30,0.0,0.0000,0.000,0.000
115.5000,44.82,0.0,0.0000,0.000,0.000
115.6667,44.72,0.0,0.0000,0.000,0.000
115.8333,44.79,0.0,0.0000,0.000,0.000
116.0000,45.30,0.0,0.0000,0.000,0.000
116.1667,44.87,0.0,0.0000,0.000,0.000
116.3333,44.90,0.0,0.0000,0.000,0.000
116.5000,44.89,0.0,0.0000,0.000,0.000
116.6667,45.12,0.0,0.0000,0.000,0.000
116.8333,45.32,0.0,0.0000,0.000,0.000
117.0000,45.05,0.0,0.0000,0.000,0.000
117.1667,44.90,0.0,0.0000,0.000,0.000
117.3333,45.54,0.0,0.0000,0.000,0.000
117.5000,45.02,0.0,0.0000,0.000,0.000
117.6667,45.03,0.0,0.0000,0.000,0.000
117.8333,45.20,0.0,0.0000,0.000,0.000
118.0000,44.75,0.0,0.0000,0.000,0.000
118.1667,44.68,0.0,0.0000,0.000,0.000
118.3333,45.19,0.0,0.0000,0.000,0.000
118.5000,45.00,0.0,0.0000,0.000,0.000
118.6667,44.78,0.0,0.0000,0.000,0.000
118.8333,44.51,0.0,0.0000,0.000,0.000
119.0000,44.85,0.0,0.0000,0.000,0.000
119.1667,44.80,0.0,0.0000,0.000,0.000
119.3333,44.94,0.0,0.0000,0.000,0.000
119.5000,44.88,0.0,0.0000,0.000,0.000
119.6667,45.43,0.0,0.0000,0.000,0.000
119.8333,44.73,0.0,0.0000,0.000,0.000
120.0000,45.01,998.5,0.8790,19.607,17.235
120.1667,45.27,1001.8,0.8826,19.606,17.304
120.3333,45.27,997.6,0.8836,19.575,17.297
120.5000,44.97,1000.9,0.8825,19.590,17.287
120.6667,44.75,1001.6,0.8818,19.657,17.334
120.8333,45.01,997.7,0.8846,19.443,17.199
121.0000,44.45,999.1,0.8822,19.398,17.114
121.1667,45.27,998.0,0.8824,19.560,17.259
121.3333,43.93,998.4,0.8831,19.509,17.228
121.5000,44.97,1002.1,0.8825,19.464,17.176
121.6667,45.04,999.1,0.8820,19.566,17.257
121.8333,44.81,1000.7,0.8839,19.459,17.199
122.0000,44.84,997.3,0.8820,19.466,17.169
122.1667,44.97,1000.5,0.8798,19.573,17.220
122.3333,44.49,1000.6,0.8860,19.437,17.220
122.5000,44.81,1000.5,0.8839,19.400,17.148
122.6667,45.33,998.0,0.8825,19.492,17.201
122.8333,45.09,998.3,0.8808,19.442,17.125
123.0000,44.56,1004.8,0.8806,19.657,17.310
123.1667,45.00,1001.5,0.8828,19.524,17.236
123.3333,44.87,999.8,0.8838,19.705,17.416
123.5000,44.51,1001.4,0.8846,19.513,17.261
123.6667,44.89,999.4,0.8806,19.550,17.216
123.8333,45.13,1002.0,0.8787,19.664,17.278
124.0000,45.29,998.9,0.8803,19.692,17.335
124.1667,45.23,1006.2,0.8836,19.477,17.209
124.3333,45.60,1002.3,0.8817,19.478,17.174
124.5000,45.11,1000.5,0.8828,19.415,17.140
124.6667,44.93,1000.6,0.8798,19.369,17.040
124.8333,44.97,1003.0,0.8795,19.642,17.275
125.0000,45.41,997.2,0.8807,19.239,16.943
125.1667,45.33,1000.4,0.8814,19.495,17.183
125.3333,44.81,999.8,0.8829,19.367,17.100
125.5000,44.39,999.5,0.8816,19.627,17.303
125.6667,45.08,999.6,0.8800,19.676,17.314
125.8333,44.44,999.2,0.8851,19.244,17.033
126.0000,44.66,1003.1,0.8833,19.388,17.127
126.1667,44.94,999.2,0.8795,19.342,17.011
126.3333,45.05,998.5,0.8805,19.477,17.149
126.5000,45.21,1002.9,0.8778,19.561,17.171
126.6667,44.71,1003.0,0.8813,19.303,17.011
126.8333,44.55,1002.5,0.8816,19.356,17.065
127.0000,44.83,1000.4,0.8830,19.533,17.248
127.1667,45.04,997.8,0.8818,19.188,16.920
127.3333,44.96,1000.7,0.8794,19.306,16.978
127.5000,45.16,996.5,0.8815,19.452,17.148
127.6667,45.46,1002.9,0.8771,19.586,17.178
127.8333,45.20,997.9,0.8844,19.299,17.068
128.0000,45.05,998.9,0.8813,19.387,17.085
128.1667,45.10,996.2,0.8779,19.269,16.917
128.3333,44.94,1000.0,0.8795,19.577,17.217
128.5000,44.73,999.4,0.8814,19.526,17.211
128.6667,44.95,999.2,0.8780,19.493,17.115
128.8333,45.42,998.7,0.8782,19.585,17.200
129.0000,44.92,1000.1,0.8824,19.475,17.185
129.1667,45.25,999.8,0.8798,19.653,17.291
129.3333,44.80,999.6,0.8798,19.332,17.008
129.5000,45.23,1001.1,0.8817,19.401,17.106
129.6667,44.66,999.8,0.8845,19.175,16.959
129.8333,44.90,1001.6,0.8804,19.466,17.137
130.0000,44.50,996.2,0.8829,19.243,16.990
130.1667,44.89,999.9,0.8818,19.406,17.112
130.3333,45.00,999.7,0.8801,19.200,16.899
130.5000,45.37,1000.3,0.8789,19.475,17.117
130.6667,44.86,1000.8,0.8788,19.522,17.155
130.8333,45.03,999.5,0.8789,19.391,17.043
131.0000,44.71,1002.6,0.8811,19.349,17.048
131.1667,44.62,998.8,0.8823,19.333,17.058
131.3333,45.08,1000.4,0.8809,19.258,16.964
131.5000,44.81,997.4,0.8842,19.358,17.116
131.6667,45.00,997.8,0.8776,19.579,17.182
131.8333,45.78,999.7,0.8770,19.415,17.027
132.0000,44.66,0.0,0.0000,0.000,0.000
132.1667,45.26,0.0,0.0000,0.000,0.000
132.3333,45.22,0.0,0.0000,0.000,0.000
132.5000,45.15,0.0,0.0000,0.000,0.000
132.6667,45.73,0.0,0.0000,0.000,0.000
132.8333,45.20,0.0,0.0000,0.000,0.000
133.0000,45.43,0.0,0.0000,0.000,0.000
133.1667,44.89,0.0,0.0000,0.000,0.000
133.3333,44.63,0.0,0.0000,0.000,0.000
133.5000,45.15,0.0,0.0000,0.000,0.000
133.6667,45.25,0.0,0.0000,0.000,0.000
133.8333,45.13,0.0,0.0000,0.000,0.000
134.0000,44.83,0.0,0.0000,0.000,0.000
134.1667,45.35,0.0,0.0000,0.000,0.000
134.3333,44.73,0.0,0.0000,0.000,0.000
134.5000,44.65,0.0,0.0000,0.000,0.000
134.6667,45.21,0.0,0.0000,0.000,0.000
134.8333,44.35,0.0,0.0000,0.000,0.000
135.0000,45.27,0.0,0.0000,0.000,0.000
135.1667,44.98,0.0,0.0000,0.000,0.000
135.3333,45.30,0.0,0.0000,0.000,0.000
135.5000,45.04,0.0,0.0000,0.000,0.000
135.6667,44.93,0.0,0.0000,0.000,0.000
135.8333,44.77,0.0,0.0000,0.000,0.000
136.0000,44.74,0.0,0.0000,0.000,0.000
136.1667,45.06,0.0,0.0000,0.000,0.000
136.3333,44.26,0.0,0.0000,0.000,0.000
136.5000,45.06,0.0,0.0000,0.000,0.000
136.6667,44.73,0.0,0.0000,0.000,0.000
136.8333,44.79,0.0,0.0000,0.000,0.000
137.0000,44.85,0.0,0.0000,0.000,0.000
137.1667,45.28,0.0,0.0000,0.000,0.000
137.3333,44.64,0.0,0.0000,0.000,0.000
137.5000,44.66,0.0,0.0000,0.000,0.000
137.6667,44.48,0.0,0.0000,0.000,0.000
137.8333,44.73,0.0,0.0000,0.000,0.000
138.0000,44.32,0.0,0.0000,0.000,0.000
138.1667,44.94,0.0,0.0000,0.000,0.000
138.3333,45.34,0.0,0.0000,0.000,0.000
138.5000,44.84,0.0,0.0000,0.000,0.000
138.6667,44.66,0.0,0.0000,0.000,0.000
138.8333,45.35,0.0,0.0000,0.000,0.000
139.0000,44.96,0.0,0.0000,0.000,0.000
139.1667,45.08,0.0,0.0000,0.000,0.000
139.3333,44.92,0.0,0.0000,0.000,0.000
139.5000,44.69,0.0,0.0000,0.000,0.000
139.6667,44.98,0.0,0.0000,0.000,0.000
139.8333,44.96,0.0,0.0000,0.000,0.000
140.0000,45.21,0.0,0.0000,0.000,0.000
140.1667,45.09,0.0,0.0000,0.000,0.000
140.3333,45.15,0.0,0.0000,0.000,0.000
140.5000,45.03,0.0,0.0000,0.000,0.000
140.6667,44.26,0.0,0.0000,0.000,0.000
140.8333,44.47,0.0,0.0000,0.000,0.000
141.0000,45.18,0.0,0.0000,0.000,0.000
141.1667,45.30,0.0,0.0000,0.000,0.000
141.3333,44.68,0.0,0.0000,0.000,0.000
141.5000,45.33,0.0,0.0000,0.000,0.000
141.6667,45.47,0.0,0.0000,0.000,0.000
141.8333,45.10,0.0,0.0000,0.000,0.000
142.0000,45.44,0.0,0.0000,0.000,0.000
142.1667,44.48,0.0,0.0000,0.000,0.000
142.3333,45.36,0.0,0.0000,0.000,0.000
142.5000,44.65,0.0,0.0000,0.000,0.000
142.6667,45.32,0.0,0.0000,0.000,0.000
142.8333,44.50,0.0,0.0000,0.000,0.000
143.0000,44.31,0.0,0.0000,0.000,0.000
143.1667,44.53,0.0,0.0000,0.000,0.000
143.3333,44.61,0.0,0.0000,0.000,0.000
143.5000,44.77,0.0,0.0000,0.000,0.000
143.6667,44.97,0.0,0.0000,0.000,0.000
143.8333,44.74,0.0,0.0000,0.000,0.000
144.0000,45.12,995.9,0.8780,19.274,16.923
144.1667,44.83,1000.9,0.8807,19.351,17.043
144.3333,45.12,1000.4,0.8808,19.489,17.166
144.5000,45.44,1000.3,0.8784,19.290,16.944
144.6667,45.59,1001.3,0.8787,19.245,16.911
144.8333,44.44,1001.7,0.8799,19.354,17.030
145.0000,45.56,1000.6,0.8744,19.569,17.111
145.1667,44.53,999.9,0.8812,19.340,17.042
145.3333,44.52,995.9,0.8799,19.287,16.971
145.5000,45.28,1001.5,0.8785,19.447,17.085
145.6667,44.76,997.0,0.8774,19.277,16.915
145.8333,44.36,999.6,0.8820,19.208,16.942
146.0000,45.72,1001.5,0.8740,19.525,17.065
146.1667,44.85,1001.9,0.8800,19.350,17.029
146.3333,45.14,1000.8,0.8782,19.319,16.967
146.5000,45.02,1001.3,0.8778,19.400,17.029
146.6667,45.34,1000.9,0.8779,19.338,16.977
146.8333,45.05,1001.5,0.8784,19.432,17.069
147.0000,44.90,995.3,0.8774,19.174,16.824
147.1667,44.85,999.0,0.8787,19.194,16.865
147.3333,45.15,999.8,0.8804,19.176,16.882
147.5000,44.58,998.2,0.8804,19.247,16.946
147.6667,44.65,996.4,0.8791,19.195,16.873
147.8333,45.06,997.4,0.8799,19.187,16.883
148.0000,44.85,999.1,0.8795,19.328,17.000
148.1667,45.16,1001.5,0.8743,19.339,16.908
148.3333,45.44,997.9,0.8785,19.214,16.879
148.5000,45.11,998.9,0.8798,19.211,16.902
148.6667,44.82,1001.7,0.8778,19.313,16.954
148.8333,44.93,1000.6,0.8788,19.226,16.895
149.0000,44.70,998.9,0.8799,19.338,17.015
149.1667,44.52,995.5,0.8834,19.051,16.829
149.3333,44.77,997.5,0.8788,19.089,16.776
149.5000,44.67,999.8,0.8778,19.340,16.976
149.6667,44.95,1001.2,0.8765,19.104,16.745
149.8333,45.22,1000.3,0.8801,19.293,16.980
150.0000,44.36,1001.0,0.8797,19.405,17.071
150.1667,45.14,1001.2,0.8805,19.157,16.868
150.3333,44.85,1000.8,0.8787,19.091,16.776
150.5000,44.49,999.3,0.8778,19.170,16.827
150.6667,45.11,999.3,0.8732,19.597,17.112
150.8333,45.33,1001.6,0.8762,19.195,16.818
151.0000,45.20,996.5,0.8757,19.320,16.918
151.1667,45.17,999.1,0.8780,19.277,16.926
151.3333,44.40,1000.2,0.8776,19.271,16.911
151.5000,45.15,998.1,0.8782,19.392,17.029
151.6667,44.94,1000.2,0.8802,19.253,16.947
151.8333,45.31,1000.0,0.8769,19.368,16.984
152.0000,44.36,1002.1,0.8783,19.267,16.922
152.1667,45.89,1000.1,0.8760,19.164,16.788
152.3333,44.83,1000.5,0.8780,19.412,17.043
152.5000,45.21,998.6,0.8757,19.237,16.846
152.6667,44.78,1000.4,0.8766,19.137,16.775
152.8333,44.58,1000.0,0.8801,19.147,16.851
153.0000,44.39,1000.4,0.8790,18.982,16.685
153.1667,45.10,997.2,0.8763,19.136,16.769
153.3333,45.05,1001.6,0.8778,19.315,16.955
153.5000,45.23,999.4,0.8786,19.037,16.726
153.6667,45.05,997.9,0.8769,19.265,16.894
153.8333,44.96,996.4,0.8776,19.082,16.747
154.0000,44.58,998.2,0.8785,19.020,16.709
154.1667,44.87,1003.3,0.8756,19.415,17.000
154.3333,45.08,1002.1,0.8746,19.159,16.757
154.5000,44.89,1003.1,0.8790,19.239,16.911
154.6667,45.08,1000.6,0.8762,19.138,16.769
154.8333,45.31,997.4,0.8781,19.104,16.775
155.0000,45.54,998.7,0.8751,19.190,16.793
155.1667,45.52,1002.2,0.8772,19.538,17.138
155.3333,44.46,999.4,0.8802,19.158,16.863
155.5000,45.19,1000.2,0.8763,19.363,16.967
155.6667,45.54,999.1,0.8782,19.305,16.952
155.8333,45.17,997.4,0.8759,19.075,16.708
156.0000,45.22,0.0,0.0000,0.000,0.000
156.1667,45.44,0.0,0.0000,0.000,0.000
156.3333,45.32,0.0,0.0000,0.000,0.000
156.5000,44.93,0.0,0.0000,0.000,0.000
156.6667,45.00,0.0,0.0000,0.000,0.000
156.8333,44.64,0.0,0.0000,0.000,0.000
157.0000,44.88,0.0,0.0000,0.000,0.000
157.1667,44.26,0.0,0.0000,0.000,0.000
157.3333,44.67,0.0,0.0000,0.000,0.000
157.5000,44.68,0.0,0.0000,0.000,0.000
157.6667,45.16,0.0,0.0000,0.000,0.000
157.8333,45.67,0.0,0.0000,0.000,0.000
158.0000,44.94,0.0,0.0000,0.000,0.000
158.1667,45.07,0.0,0.0000,0.000,0.000
158.3333,45.03,0.0,0.0000,0.000,0.000
158.5000,44.75,0.0,0.0000,0.000,0.000
158.6667,45.01,0.0,0.0000,0.000,0.000
158.8333,44.65,0.0,0.0000,0.000,0.000
159.0000,44.65,0.0,0.0000,0.000,0.000
159.1667,45.12,0.0,0.0000,0.000,0.000
159.3333,45.48,0.0,0.0000,0.000,0.000
159.5000,45.19,0.0,0.0000,0.000,0.000
159.6667,45.25,0.0,0.0000,0.000,0.000
159.8333,45.09,0.0,0.0000,0.000,0.000
160.0000,45.06,0.0,0.0000,0.000,0.000
160.1667,44.94,0.0,0.0000,0.000,0.000
160.3333,45.47,0.0,0.0000,0.000,0.000
160.5000,44.84,0.0,0.0000,0.000,0.000
160.6667,45.21,0.0,0.0000,0.000,0.000
160.8333,44.81,0.0,0.0000,0.000,0.000
161.0000,44.87,0.0,0.0000,0.000,0.000
161.1667,45.08,0.0,0.0000,0.000,0.000
161.3333,45.51,0.0,0.0000,0.000,0.000
161.5000,45.09,0.0,0.0000,0.000,0.000
161.6667,44.67,0.0,0.0000,0.000,0.000
161.8333,45.42,0.0,0.0000,0.000,0.000
162.0000,45.48,0.0,0.0000,0.000,0.000
162.1667,45.52,0.0,0.0000,0.000,0.000
162.3333,45.07,0.0,0.0000,0.000,0.000
162.5000,45.14,0.0,0.0000,0.000,0.000
162.6667,45.09,0.0,0.0000,0.000,0.000
162.8333,44.88,0.0,0.0000,0.000,0.000
163.0000,44.64,0.0,0.0000,0.000,0.000
163.1667,44.75,0.0,0.0000,0.000,0.000
163.3333,45.40,0.0,0.0000,0.000,0.000
163.5000,45.26,0.0,0.0000,0.000,0.000
163.6667,44.89,0.0,0.0000,0.000,0.000
163.8333,45.00,0.0,0.0000,0.000,0.000
164.0000,45.44,0.0,0.0000,0.000,0.000
164.1667,45.15,0.0,0.0000,0.000,0.000
164.3333,44.33,0.0,0.0000,0.000,0.000
164.5000,44.99,0.0,0.0000,0.000,0.000
164.6667,45.26,0.0,0.0000,0.000,0.000
164.8333,45.14,0.0,0.0000,0.000,0.000
165.0000,45.16,0.0,0.0000,0.000,0.000
165.1667,44.97,0.0,0.0000,0.000,0.000
165.3333,44.89,0.0,0.0000,0.000,0.000
165.5000,44.65,0.0,0.0000,0.000,0.000
165.6667,45.16,0.0,0.0000,0.000,0.000
165.8333,44.90,0.0,0.0000,0.000,0.000
166.0000,44.63,0.0,0.0000,0.000,0.000
166.1667,44.93,0.0,0.0000,0.000,0.000
166.3333,45.76,0.0,0.0000,0.000,0.000
166.5000,45.15,0.0,0.0000,0.000,0.000
166.6667,45.06,0.0,0.0000,0.000,0.000
166.8333,44.68,0.0,0.0000,0.000,0.000
167.0000,45.48,0.0,0.0000,0.000,0.000
167.1667,45.33,0.0,0.0000,0.000,0.000
167.3333,45.38,0.0,0.0000,0.000,0.000
167.5000,44.99,0.0,0.0000,0.000,0.000
167.6667,44.45,0.0,0.0000,0.000,0.000
167.8333,44.97,0.0,0.0000,0.000,0.000
168.0000,45.92,0.0,0.0000,0.000,0.000
